location,industrial,logistics,auto,retail,grocery,office,education,health,restaurants,public sector,entertainment,hotel,others,Employee/Residential Population Ratio (per 100 Residents),Latitude,Longitude,Walkscore,distance_to_park,distance_to_transit_station,distance_to_bike_station
"88th Street, New York, New York",927,748,872,1002,546,4097,1957,8360,1894,425,484,92,1753,23,40.6798468,-73.8515018,86,0.4 km,3 m,3 m
"90th Street–Elmhurst Avenue, New York, New York",2204,1045,502,2909,1094,5400,4016,7373,3638,740,237,74,2133,12,40.7483933,-73.8767862,97,22 m,45 m,0.1 km
"96th Street, New York, New York",540,502,801,732,301,2741,1152,7298,1174,417,439,85,1127,31,40.7858647,-73.9508992,99,71 m,1 m,1 m
"96th Street†, New York, New York",5302,1604,187,3733,1765,12357,8066,25050,5858,701,4226,615,7977,34,40.7858647,-73.9508992,99,71 m,1 m,1 m
"Alabama Avenue, New York, New York",1991,2058,390,1560,559,2489,1979,3547,1040,630,66,41,1494,15,40.6768986,-73.8992908,89,0.1 km,10 m,10 m
"Allerton Avenue, New York, New York",1505,446,443,932,635,2313,3155,4300,1414,583,465,33,2031,14,40.8654299,-73.8673652,92,0.2 km,1 m,1 m
"Aqueduct Racetrack, New York, New York",1312,674,244,828,340,1606,1426,723,1080,257,1675,308,745,17,40.6720944,-73.8359383,73,0.6 km,5 m,5 m
"Aqueduct–North Conduit Avenue, New York, New York",977,798,267,711,598,1835,2691,2177,1055,529,213,24,1272,10,40.6683086,-73.8340881,59,0.8 km,6 m,6 m
"Astoria Boulevard, New York, New York",4181,3498,630,1873,718,6025,2251,4953,3139,664,525,53,2164,24,40.7704417,-73.9176868,98,80 m,17 m,17 m
"Astoria–Ditmars Boulevard†, New York, New York",3159,14291,428,651,255,2673,1445,721,1243,893,162,379,1229,39,40.7749872,-73.9121176,100,0.7 km,2 m,2 m
"Astor Place, New York, New York",19140,8635,532,37072,4520,129078,28932,37688,31540,4154,12056,4386,24900,126,40.7298838,-73.9915334,100,0.1 km,23 m,6 m
"Atlantic Avenue, New York, New York",2268,1632,461,1242,524,2968,3234,3795,1503,1209,188,67,2057,15,40.6758826,-73.9032829,86,0.3 km,41 m,36 m
"Atlantic Avenue–Barclays Center, New York, New York",3270,2166,235,4846,1425,8987,8811,13397,5210,8622,1917,1100,5426,37,40.6838111,-73.9786613,100,0.1 km,5 m,5 m
"Avenue H, New York, New York",1924,1297,954,1807,732,5632,1611,2492,1544,200,130,45,2095,19,40.7617402,-73.9574946,95,0.3 km,38 m,30 m
"Avenue I, New York, New York",1923,1384,975,1461,671,5501,1662,2285,1281,213,139,41,2067,19,40.7592379,-73.9593111,97,65 m,17 m,18 m
"Avenue J, New York, New York",1659,1613,571,817,344,2386,1502,3132,939,313,79,5,1675,16,40.6758826,-73.9032829,86,0.3 km,41 m,36 m
"Avenue M, New York, New York",468,459,124,407,322,1381,1470,2648,734,154,67,5,756,11,40.7792198,-73.9447283,88,76 m,15 m,12 m
"Avenue N, New York, New York",350,370,86,354,299,1187,1294,2327,579,128,64,5,628,11,34.2336839,-118.2536491,78,0.2 km,0.2 km,0.2 km
"Avenue P, New York, New York",2277,1823,393,2568,835,4829,2978,3862,1880,382,178,114,1819,14,34.2336839,-118.2536491,78,0.2 km,0.2 km,0.2 km
"Avenue U, New York, New York",1530,1438,466,1867,672,4485,2651,6228,1340,664,214,51,1927,17,34.2336839,-118.2536491,78,0.2 km,0.2 km,0.2 km
"Avenue X, New York, New York",359,256,39,2353,126,929,632,857,513,24,257,50,419,24,40.5896199,-73.97425,92,0.4 km,1 m,1 m
"Baychester Avenue, New York, New York",955,454,623,2770,399,2565,1811,3721,1552,225,84,31,927,19,40.8795514,-73.8320702,68,0.2 km,0.2 km,15 m
"Bay 50th Street, New York, New York",1075,1388,408,1469,551,2129,2475,2275,1589,942,569,74,1102,17,40.753314,-73.964811,96,29 m,0.2 km,18 m
"Bay Parkway, New York, New York",1403,2497,257,1845,587,3047,2023,2645,1302,374,144,46,1210,14,40.611815,-73.981848,93,0.5 km,7 m,7 m
"Bay Ridge Avenue, New York, New York",2067,1686,1062,2538,1056,7236,3176,6637,2658,728,476,61,2866,18,40.6347733,-74.0234269,92,0.3 km,21 m,21 m
"Bay Ridge–95th Street, New York, New York",555,488,808,753,304,2800,1150,7504,1206,426,438,85,1149,31,40.6161881,-74.0310127,97,63 m,7 m,7 m
"Beach 105th Street, New York, New York",271,93,46,233,177,635,661,1100,371,176,10313,12,240,73,40.5832557,-73.8273814,77,0.4 km,1 m,1 m
"Beach 25th Street, New York, New York",222,898,26,175,152,601,1918,4393,381,211,40,105,614,17,40.5996428,-73.7617236,74,0.3 km,22 m,83 m
"Beach 36th Street, New York, New York",98,2156,8,98,81,261,1173,3791,202,41,5,43,132,20,40.5952838,-73.7683817,53,0.2 km,36 m,36 m
"Beach 44th Street, New York, New York",135,121,6,111,80,419,360,502,121,108,22,0,177,9,40.5929615,-73.7759368,39,73 m,1 m,1 m
"Beach 60th Street, New York, New York",198,2164,27,23,115,167,270,1661,177,43,3,0,160,16,40.5923764,-73.7887383,74,77 m,52 m,55 m
"Beach 67th Street, New York, New York",168,1578,30,88,171,226,298,1534,231,50,3,0,193,14,40.5910021,-73.7963277,82,87 m,1 m,1 m
"Beach 90th Street, New York, New York",368,77,36,135,199,505,581,862,331,141,10295,4,211,63,40.5880338,-73.8136929,87,0.8 km,34 m,34 m
"Beach 98th Street, New York, New York",282,68,47,156,169,595,706,1069,340,177,10301,9,216,75,40.5853442,-73.8204847,85,0.4 km,44 m,44 m
"Bedford Avenue, New York, New York",1864,1009,315,1421,828,5920,5501,8002,2681,725,1216,109,4513,18,40.7237448,-73.9513737,95,0.1 km,58 m,1 m
"Bedford Park Boulevard, New York, New York",1322,602,175,2552,861,3748,8743,29586,1582,707,673,40,1886,30,40.873244,-73.8871379,86,0.5 km,1 m,1 m
"Bedford Park Boulevard–Lehman College, New York, New York",1518,1435,169,3200,1063,3703,6046,30517,1919,786,461,32,1923,29,40.8733378,-73.8901557,80,0.7 km,1 m,1 m
"Bedford–Nostrand Avenues, New York, New York",1979,1015,315,1443,892,5482,4396,7818,2614,741,690,113,4548,16,40.689627,-73.953522,94,0.2 km,85 m,1 m
"Bergen Street, New York, New York",2462,1841,413,1533,644,5168,3618,4195,1771,1465,240,63,2272,16,40.6808135,-73.9750886,99,0.1 km,3 m,3 m
"Beverley Road, New York, New York",2027,1727,1297,1316,776,4586,2230,16654,1401,274,169,29,2271,30,40.644031,-73.964492,92,0.5 km,10 m,10 m
"Beverly Road, New York, New York",2027,1727,1297,1316,776,4586,2230,16654,1401,274,169,29,2271,30,40.6451265,-73.9489324,86,0.5 km,17 m,11 m
"Borough Hall-Court Street, New York, New York",4889,2672,234,5513,1785,14569,14436,11085,4628,11309,1694,1402,8011,64,40.6925434,-73.9909995,100,0.1 km,28 m,12 m
"Bowery, New York, New York",11377,6720,2347,21354,3303,144077,25079,19948,23212,21117,8868,4483,28738,148,40.7141496,-73.9975206,100,93 m,0.1 km,4 m
"Bowling Green, New York, New York",9183,4349,2199,9829,1300,213546,11296,15931,9464,25242,3713,3103,27558,412,40.7045091,-74.0140946,99,69 m,27 m,8 m
"Briarwood, New York, New York",1294,1257,508,1322,601,8532,3761,13089,1613,1732,134,182,2747,34,40.7092563,-73.8201394,90,0.2 km,50 m,0.2 km
"Brighton Beach, New York, New York",1240,1203,360,1043,657,4185,2210,6802,1111,631,189,30,1352,24,40.57964365,-73.96111023,97,0.5 km,0.2 km,35 m
"Broadway, New York, New York",4257,1272,80,2228,1154,10816,8972,23384,4799,1035,1925,534,6055,39,40.978666,-73.880213,38,0.3 km,63 m,63 m
"Broadway Junction, New York, New York",2166,1467,478,1098,466,2516,3173,3569,1222,913,247,57,1943,15,40.6758826,-73.9032829,86,0.3 km,41 m,36 m
"Broadway–Lafayette Street-Bleecker Street, New York, New York",13611,7267,2385,25008,3302,229741,27009,21939,24456,24038,9581,5457,32373,209,40.725297,-73.996204,100,0.1 km,8 m,8 m
"Broad Channel, New York, New York",21,0,7,11,6,180,25,35,30,39,0,4,21,15,40.6064008,-73.8190188,46,0.5 km,73 m,13 m
"Broad Street, New York, New York",9799,4893,2232,10948,1520,221165,11705,17883,11246,26569,4515,3293,28693,361,40.730328,-73.9926289,100,61 m,34 m,6 m
"Bronx Park East, New York, New York",1759,853,375,1530,738,2673,3427,2080,1366,651,522,32,1844,11,40.8489744,-73.8683841,85,0.3 km,1 m,1 m
"Brooklyn Bridge–City Hall-Chambers Street†, New York, New York",12151,5541,2293,7942,1715,149155,18507,22503,12433,29552,5088,3301,26385,199,40.71235,-74.0050702,100,63 m,90 m,63 m
"Brook Avenue, New York, New York",2454,2669,680,1819,1656,3790,7466,17927,2112,1226,361,45,3511,19,40.6758826,-73.9032829,86,0.3 km,41 m,36 m
"Buhre Avenue, New York, New York",952,546,422,866,433,4101,1075,8879,872,113,145,50,1655,42,40.847037,-73.8322772,94,59 m,5 m,5 m
"Burke Avenue, New York, New York",1112,513,719,2613,402,2609,2031,3308,1598,252,85,37,1002,18,40.8714348,-73.8671748,88,0.3 km,,
"Burnside Avenue, New York, New York",882,1421,223,1327,643,1616,950,2083,921,973,111,19,1081,25,40.8534266,-73.9077258,92,0.3 km,1 m,1 m
"Bushwick Avenue–Aberdeen Street, New York, New York",2221,1331,426,1128,504,2659,2913,3117,1383,709,163,66,1953,15,40.6827996,-73.9052062,83,74 m,0.1 km,0.1 km
"nal Street, New York, New York",13147,7116,2373,25351,3398,225389,26966,21528,25167,23596,9943,5437,32076,204,40.7188749,-74.0011072,100,0.3 km,2 m,2 m
"narsie–Rockaway Parkway†, New York, New York",1941,1935,668,1249,355,2628,1785,12372,900,251,88,15,1818,26,40.6464582,-73.9019799,84,0.7 km,0.4 km,89 m
"rroll Street, New York, New York",121,62,36,26,22,216,61,58,408,0,94,0,99,27,40.67358,-73.995959,96,0.1 km,0.1 km,0.4 km
"stle Hill Avenue, New York, New York",1020,1932,236,1121,498,862,1841,1598,799,298,51,8,768,17,40.83421755,-73.85164518,97,0.4 km,12 m,12 m
"thedral Parkway–110th Street, New York, New York",4836,1629,280,4325,1618,13359,10905,29113,5878,2400,2074,380,9277,34,40.8013041,-73.9599846,96,0.2 km,7 m,7 m
"entral Avenue, New York, New York",2299,1728,189,2028,1147,4311,4276,5445,2723,1041,420,151,3074,15,40.6979465,-73.9266436,97,0.2 km,62 m,1 m
"entral Park North–110th Street, New York, New York",4836,1629,280,4325,1618,13359,10905,29113,5878,2400,2074,380,9277,34,40.7985081,-73.9524896,95,0.1 km,31 m,60 m
"mbers Street, New York, New York",14729,6496,2263,20223,2061,250610,13162,20866,16602,26632,6914,4456,32101,365,40.7172909,-74.0131023,99,93 m,57 m,0.1 km
"mbers Street–World Trade Center-Park Place-Cortlandt Street†, New York, New York",14729,6496,2263,20223,2061,250610,13162,20866,16602,26632,6914,4456,32101,365,40.71266655,-74.00971577,100,0.1 km,13 m,13 m
"uncey Street, New York, New York",1639,1474,283,1268,588,4946,3649,3293,1807,1591,197,85,2845,14,40.6829301,-73.9105344,92,0.2 km,8 m,8 m
"ristopher Street–Sheridan Square, New York, New York",15761,6038,299,33427,3509,112851,23465,13098,24269,2376,9278,3569,20596,171,40.7336088,-74.0028294,100,49 m,1 m,1 m
"urch Avenue, New York, New York",1923,1883,795,1203,851,3017,3451,17633,1500,386,186,0,2463,27,40.6505269,-73.962982,96,0.2 km,0.2 km,20 m
"urch Avenue†, New York, New York",1462,1112,261,2028,546,5812,3068,6480,1707,542,120,12,1915,19,40.6505269,-73.962982,96,0.2 km,0.2 km,20 m
"ty Hall, New York, New York",14356,7523,2348,22494,2543,251143,14231,22749,18705,27246,8261,4561,33474,293,40.7598116,-73.97927906,99,0.1 km,0.1 km,0.3 km
"lark Street, New York, New York",5882,2500,122,5060,1422,48512,13932,12035,4878,13602,1451,1768,10526,100,41.5020532,-74.12120288,1,10.1 km,4.3 km,2.7 km
"lasson Avenue, New York, New York",2612,1068,292,2467,1223,7113,5795,8475,3426,881,1866,124,4689,20,40.688873,-73.96007,97,74 m,1 m,1 m
"leveland Street, New York, New York",2482,2191,448,895,708,2439,2434,3383,1225,990,178,47,1734,14,40.6796142,-73.8857367,85,0.3 km,0.1 km,29 m
"linton–Washington Avenues, New York, New York",2138,1085,327,2665,1245,4572,8209,11608,2433,909,726,113,2948,18,40.688089,-73.9668389,96,0.1 km,58 m,13 m
"ney Island–Stillwell Avenue†, New York, New York",677,861,217,883,398,1659,1951,2189,1077,958,562,45,761,19,40.577422,-73.981233,88,0.4 km,,
"rtelyou Road, New York, New York",1699,1273,871,1842,1013,5651,2484,9920,1869,604,240,70,2669,22,40.640927,-73.963891,90,0.5 km,0.1 km,0.2 km
"urt Square–23rd Street†, New York, New York",13106,7587,1017,3839,669,9982,3322,3466,2174,1720,890,787,3378,77,40.7478095,-73.9457377,98,0.3 km,22 m,16 m
"rescent Street, New York, New York",660,553,813,900,524,3273,1408,2128,1807,456,404,55,1567,21,40.6833496,-73.873286,76,1.0 km,30 m,4 m
"rown Heights–Utica Avenue†, New York, New York",1515,966,257,1367,835,5316,4985,4909,2328,387,1300,93,4348,17,40.6688226,-73.9311116,96,0.5 km,39 m,13 m
"ypress Avenue, New York, New York",3320,2485,276,1907,771,4173,4041,11592,1519,1632,236,133,2877,36,40.8051423,-73.9135096,85,84 m,20 m,20 m
"ypress Hills, New York, New York",1738,1249,506,684,391,1686,2257,2675,860,1029,187,24,1566,14,40.6770477,-73.8912474,86,0.4 km,0.1 km,0.2 km
"DeKalb Avenue, New York, New York",877,259,150,824,515,1553,2886,25343,787,295,229,36,1181,33,40.690635,-73.981824,99,27 m,89 m,0.1 km
"Delancey Street-Essex Street, New York, New York",10377,5913,2330,20823,4098,89265,27625,17420,25401,17580,8988,3812,23351,102,40.7183982,-73.9874236,100,0.2 km,78 m,20 m
"Ditmas Avenue, New York, New York",2275,2062,815,1216,760,2921,2568,12712,1352,206,140,16,2299,25,40.636119,-73.978172,90,0.3 km,67 m,34 m
"Dyckman Street, New York, New York",823,738,289,1138,736,3916,9538,2824,2013,378,617,41,1687,17,40.8688272,-73.9312014,69,0.1 km,0.7 km,40 m
"Eastchester–Dyre Avenue†, New York, New York",1962,1006,545,1249,288,1115,327,752,540,395,124,30,573,26,40.88894,-73.8303886,84,0.8 km,0.2 km,41 m
"Eastern Parkway–Brooklyn Museum, New York, New York",1439,1018,190,1633,795,6040,4109,8889,2964,367,1722,91,3571,20,40.6719337,-73.9642451,95,0.1 km,10 m,10 m
"East 105th Street, New York, New York",1837,1401,218,3038,1340,8819,6751,22875,4346,657,2160,203,6991,31,40.6512183,-73.8990872,59,0.3 km,11 m,11 m
"East 143rd Street–St. Mary's Street, New York, New York",4306,3909,303,2088,848,3539,4582,9799,1441,1616,144,88,2497,33,40.8082006,-73.907817,78,0.4 km,18 m,18 m
"East 149th Street, New York, New York",4565,4413,417,2463,1270,4537,5626,10342,2010,1712,206,104,3441,28,40.8120839,-73.9041639,85,0.2 km,1 m,1 m
"East 180th Street, New York, New York",1553,805,371,1330,746,2592,3825,4675,1529,755,575,36,1986,14,40.8418946,-73.8735195,81,0.2 km,2 m,2 m
"East Broadway, New York, New York",6558,4539,1116,16458,2234,72705,11972,15316,16688,15346,6743,3053,14272,100,40.7325184,-73.9912731,100,0.2 km,0.2 km,10 m
"Eighth Avenue, New York, New York",36214,19882,670,58933,4202,233907,21405,24766,30903,3574,16094,8165,40404,276,40.7413853,-74.0032719,100,0.2 km,0.1 km,0.3 km
"Eighth Street–New York University, New York, New York",20001,9416,559,37968,4578,135139,29360,35824,33008,3609,12476,5119,26019,130,40.7286075,-74.0026868,100,1 m,5 m,5 m
"Elder Avenue, New York, New York",2308,3164,476,1261,1332,2314,2428,2540,1552,753,91,42,1814,14,40.8285948,-73.8791931,91,0.5 km,1 m,1 m
"Elmhurst Avenue, New York, New York",2185,1038,363,5423,1054,5560,4559,7452,4542,635,251,86,2117,14,40.7372246,-73.8772168,99,60 m,79 m,2 m
"Euclid Avenue†, New York, New York",1498,1319,291,876,604,2028,2227,2317,1097,571,242,29,1211,11,40.6754182,-73.871912,87,0.2 km,1 m,1 m
"Far Rockaway–Mott Avenue†, New York, New York",521,11062,140,326,176,972,2463,4496,423,198,56,146,943,34,40.6045336,-73.7543833,88,0.4 km,48 m,25 m
"Fifth Avenue-53rd Street, New York, New York",6788,2793,279,11476,2746,28386,11051,40492,12263,1446,10139,2262,14343,52,40.7605598,-73.9759537,98,74 m,57 m,44 m
"Fifth Avenue–59th Street, New York, New York",6788,2793,279,11476,2746,28386,11051,40492,12263,1446,10139,2262,14343,52,40.7648269,-73.9726747,98,3 m,3 m,3 m
"First Avenue, New York, New York",2231,1444,323,2960,888,6990,5077,7837,3102,5752,856,72,6627,29,40.73255,-73.9798111,98,0.3 km,0.2 km,4 m
"Flatbush Avenue–Brooklyn College†, New York, New York",1742,1996,240,2633,1247,6386,4235,9676,4011,389,2364,154,3853,26,40.6328717,-73.9476352,91,0.4 km,1 m,1 m
"Flushing Avenue, New York, New York",4501,2751,340,3254,1435,7715,4660,7001,2478,1067,425,252,3340,20,40.7002809,-73.9411682,98,0.3 km,1 m,1 m
"Flushing–Main Street, New York, New York",7671,1441,476,3275,1048,7470,1877,17074,2560,487,756,598,2463,39,40.7585195,-73.8298574,100,0.2 km,39 m,6 m
"Fordham Road, New York, New York",1528,713,325,1287,700,3131,6347,5231,1921,723,896,109,2420,19,40.861296,-73.897749,98,0.2 km,1 m,1 m
"Forest Avenue, New York, New York",3435,3578,442,2385,1585,6094,7916,17325,2294,2060,242,104,4201,26,40.721691,-73.844521,99,0.2 km,1 m,1 m
"Forest Hills–71st Avenue†, New York, New York",708,328,88,560,440,2460,1324,1412,680,345,194,242,478,42,40.721691,-73.844521,99,0.2 km,1 m,1 m
"Fort Hamilton Parkway, New York, New York",1927,1582,1361,2237,1125,6771,2810,5992,2577,642,378,65,2693,19,40.650782,-73.975776,92,39 m,0.1 km,0.2 km
"Fourth Avenue-Ninth Street, New York, New York",21691,10235,551,37733,4528,134112,30119,44357,32571,2678,10763,5999,27192,130,40.75343345,-74.00308131,97,0.3 km,0.2 km,0.2 km
"Grand Army Plaza, New York, New York",1831,2082,259,2833,1264,6691,4795,9574,4047,476,2464,174,4120,26,40.6748963,-73.9708739,99,0.1 km,57 m,72 m
"Grand Avenue–Newtown, New York, New York",2250,992,334,5698,892,5130,3063,7210,3696,9018,253,125,1784,21,40.7372246,-73.8772168,99,60 m,79 m,2 m
"Grand Central–42nd Street, New York, New York",61571,39793,803,82412,3782,636538,17764,62773,47256,14379,23258,29458,63764,581,40.7517716,-73.9768249,100,0.2 km,29 m,8 m
"Grand Street, New York, New York",4487,3112,262,11375,1878,25809,9295,9600,13929,6240,5510,1826,8444,57,40.7229615,-74.0049209,100,46 m,28 m,24 m
"Grant Avenue, New York, New York",2046,2309,544,1484,1589,5316,7068,17127,2312,2903,576,71,3529,19,40.6768466,-73.8653952,88,0.3 km,3 m,3 m
"Greenpoint Avenue, New York, New York",6510,4718,331,1550,1138,6102,661,1193,1897,818,641,334,1754,43,40.7297129,-73.9593891,95,0.1 km,69 m,15 m
"Gun Hill Road, New York, New York",580,292,177,2706,363,4634,1495,11738,1262,364,133,27,1314,41,40.8776606,-73.8663902,89,47 m,11 m,11 m
"Halsey Street, New York, New York",1704,1882,569,1614,517,3265,2030,5643,1646,400,141,47,1743,20,40.6863449,-73.9165406,94,0.4 km,1 m,1 m
"Harlem–148th Street, New York, New York",282,2911,117,124,33,856,254,146,796,488,2,1102,258,53,40.823712,-73.9361014,94,0.7 km,72 m,28 m
"Hewes Street, New York, New York",4836,2203,287,3469,1561,9634,5825,5280,3147,636,815,235,3281,23,40.7068552,-73.9533503,95,92 m,6 m,6 m
"High Street, New York, New York",4218,1649,109,4408,1232,16300,13723,11507,3875,11069,1213,1298,7103,66,40.6992975,-73.9914349,98,0.2 km,15 m,15 m
"Houston Street, New York, New York",451,238,218,1766,979,1300,941,1676,1092,612,87,38,806,20,40.7225041,-73.9869868,100,61 m,71 m,56 m
"Howard Beach–JFK Airport, New York, New York",146,1620,3,116,10,611,0,26,576,189,0,24,131,55,40.6604335,-73.8302749,60,0.7 km,1 m,1 m
"Hoyt Street, New York, New York",4869,2824,268,5186,1633,12695,14754,12079,5177,11574,1991,1420,8381,52,40.6905128,-73.9849862,99,0.2 km,4 m,4 m
"Hoyt–Schermerhorn Streets, New York, New York",4818,2664,212,5880,2115,14109,16581,12406,5454,11308,2005,1382,8847,96,40.688484,-73.985001,98,0.3 km,0.2 km,4 m
"Hunters Point Avenue, New York, New York",12320,4126,238,2931,892,30990,3220,22177,3556,8790,1607,1370,7954,31,40.7424147,-73.9481036,93,0.3 km,4 m,4 m
"Hunts Point Avenue, New York, New York",4533,7348,542,1145,1369,2506,2074,2137,1273,835,72,17,1753,24,40.8208004,-73.8908065,94,7 m,7 m,7 m
"Intervale Avenue, New York, New York",4345,5166,672,1646,1758,3542,5045,7905,1774,1166,175,48,2837,18,40.8221585,-73.8967991,92,0.1 km,3 m,3 m
"Inwood–207th Street, New York, New York",471,199,44,569,286,1902,1268,1354,887,26,177,245,728,25,40.8677645,-73.9210552,98,0.3 km,14 m,14 m
"Jackson Avenue, New York, New York",3199,3130,433,2385,1576,6078,8048,18166,2295,1992,244,101,4190,15,40.816519,-73.90778,89,0.2 km,12 m,12 m
"Jackson Heights–Roosevelt Avenue-74th Street, New York, New York",2673,1294,1154,2310,868,5699,2741,7189,3079,677,363,152,2300,11,40.7467349,-73.89256162,97,0.1 km,61 m,3 m
"Jamaica Center–Parsons-Archer, New York, New York",1711,725,235,817,731,1784,1778,997,962,104,88,3,1241,25,40.7023276,-73.8007029,98,0.4 km,15 m,15 m
"Jamaica–179th Street, New York, New York",1182,794,656,1811,279,5190,2913,4811,1060,2045,115,36,1663,29,40.712646,-73.783817,93,0.1 km,,
"Jamaica–Van Wyck, New York, New York",2746,2726,770,1816,621,7723,2498,8212,1799,893,147,212,2640,291,40.7027233,-73.8172106,95,0.5 km,1 m,1 m
"Jay Street–MetroTech, New York, New York",15127,7283,2308,23911,2704,253675,14806,22117,20805,26644,8754,4587,34142,86,40.692338,-73.987342,100,0.4 km,1 m,1 m
"Jefferson Street, New York, New York",5270,3664,298,14368,2024,57389,8329,12125,14845,12704,6042,2260,11323,18,40.7066877,-73.9230698,96,0.4 km,79 m,33 m
"Junction Boulevard, New York, New York",1766,815,170,5134,704,5085,2854,5260,3222,9264,321,56,1850,22,40.7491675,-73.8694786,98,0.2 km,6 m,6 m
"Junius Street, New York, New York",2305,1780,557,1416,564,2457,3605,12754,1354,970,111,67,2009,19,40.6635137,-73.9024354,73,38 m,47 m,47 m
"Kew Gardens–Union Turnpike, New York, New York",1541,1087,166,1477,569,1779,1770,634,1132,29,125,9,1143,18,40.714441,-73.831008,95,0.1 km,78 m,7 m
"Kingsbridge Road, New York, New York",1775,951,267,3189,1240,4725,9309,10076,2431,858,622,104,2539,18,40.8676734,-73.8972491,91,0.1 km,28 m,28 m
"Kingston Avenue, New York, New York",1896,1457,278,1711,938,6791,4970,9047,2374,1123,672,112,4742,19,40.6694074,-73.9421829,96,0.6 km,13 m,13 m
"Kingston–Throop Avenues, New York, New York",1590,486,548,954,426,2261,2186,8772,1236,546,82,14,1582,21,40.6798863,-73.9407616,96,0.3 km,38 m,5 m
"Kings Highway, New York, New York",1365,1154,588,1603,722,3153,3951,17879,1741,775,209,40,2278,24,40.6086699,-73.957734,96,0.3 km,5 m,5 m
"Knickerbocker Avenue, New York, New York",3658,5637,225,2721,1547,4765,4236,7518,2565,1086,403,137,2837,16,40.6987479,-73.9189811,97,0.1 km,47 m,90 m
"Kosciuszko Street, New York, New York",2212,1327,193,2263,910,5163,4453,8945,2448,1201,347,139,3423,21,40.6934095,-73.9289536,96,0.1 km,47 m,1 m
"Lafayette Avenue, New York, New York",1231,2213,277,1430,561,1597,2440,2178,1163,412,81,8,1090,504,40.6863074,-73.9744304,98,0.1 km,1 m,1 m
"Lexington Avenue-51st Street, New York, New York",42934,28358,590,61168,3518,535483,12031,40979,38194,13162,19292,25628,49589,26,40.7571476,-73.9720784,99,0.1 km,35 m,
"Lexington Avenue-59th Street, New York, New York",1254,962,399,1237,623,1267,975,2484,777,861,123,17,1173,34,40.7627515,-73.9674728,98,0.3 km,8 m,8 m
"Lexington Avenue–63rd Street, New York, New York",3192,1718,432,4341,1074,9043,6466,15720,4090,6707,1230,188,7209,14,40.764629,-73.966113,99,0.3 km,,
"Liberty Avenue, New York, New York",2222,1507,478,1210,471,2693,3453,3696,1332,1017,159,58,1967,20,40.7023806,-73.792307,95,0.2 km,49 m,38 m
"Livonia Avenue, New York, New York",2273,1738,503,1551,612,2573,3713,12572,1140,849,153,52,1985,26,40.6662999,-73.8837211,81,92 m,,
"Longwood Avenue, New York, New York",4288,5690,561,1252,1427,2736,3770,2439,1334,976,89,19,2120,22,40.8162916,-73.8962205,90,0.3 km,1 m,1 m
"Lorimer Street, New York, New York",5374,2818,354,3751,1510,9533,5008,7027,3418,845,680,267,3474,22,40.7038293,-73.9473618,94,82 m,9 m,9 m
"Marble Hill–225th Street, New York, New York",1071,5727,279,2244,984,3595,4744,8410,1961,350,494,33,2008,18,40.8742974,-73.9101947,94,0.3 km,8 m,1 m
"Marcy Avenue, New York, New York",3045,1497,312,1835,964,5939,5452,8944,2369,938,666,133,4001,24,40.7084064,-73.9579142,99,81 m,1 m,1 m
"Metropolitan Avenue-Lorimer Street, New York, New York",5289,3135,283,3226,2257,9020,3953,3605,4345,812,809,421,3375,43,40.7140621,-73.9502126,99,0.3 km,41 m,5 m
"Mets–Willets Point, New York, New York",7505,1368,575,3086,794,6236,1360,5341,2061,504,939,667,1786,31,40.7524337,-73.8441172,46,0.3 km,1 m,1 m
"Middletown Road, New York, New York",463,231,222,264,319,3371,424,5056,465,17,88,37,1189,19,40.8439123,-73.836261,94,0.8 km,6 m,6 m
"Middle Village–Metropolitan Avenue, New York, New York",1713,1417,219,1265,440,1936,1384,743,939,67,144,22,1009,23,40.7115203,-73.8895607,81,2.5 km,0.1 km,0.3 km
"Montrose Avenue, New York, New York",5381,2550,315,4020,2290,10143,4845,7139,3896,637,716,330,3547,32,40.7076636,-73.9398247,98,0.2 km,1 m,1 m
"Morgan Avenue, New York, New York",1336,470,408,2801,337,3186,3260,9677,1779,345,81,14,1015,12,40.7062248,-73.9326982,96,0.2 km,0.1 km,4 m
"Morrison Avenue–Soundview, New York, New York",1584,2389,401,970,1209,1801,2430,1727,1130,449,74,21,1285,28,40.8294972,-73.8746243,93,0.4 km,1 m,1 m
"Morris Park, New York, New York",1891,573,437,1151,742,3539,3382,13911,1497,367,379,55,2455,31,40.6903809,-73.8159675,90,1.0 km,0.1 km,17 m
"Mosholu Parkway, New York, New York",1931,618,407,2013,863,3927,8396,26774,1790,750,752,29,2348,18,40.8797323,-73.8846699,92,0.2 km,8 m,8 m
"Mount Eden Avenue, New York, New York",2087,2519,606,1652,1273,3868,10881,12518,2054,1649,412,46,3019,18,40.8443436,-73.9147452,91,70 m,20 m,20 m
"Myrtle Avenue, New York, New York",3847,1964,309,3135,1023,7500,4781,7811,2099,1200,505,190,3670,17,40.6994961,-73.9117908,99,0.2 km,88 m,1 m
"Myrtle–Willoughby Avenues, New York, New York",3583,1756,291,3097,928,7204,4754,7896,2256,1227,486,173,3824,20,40.6945679,-73.949046,91,0.1 km,94 m,27 m
"Myrtle–Wyckoff Avenues, New York, New York",3498,4847,206,2266,1213,4528,4016,4606,2535,745,358,116,2482,36,40.6994961,-73.9117908,99,0.2 km,88 m,1 m
